,classe,annee,Code.région,faits
720,Vols avec armes,16,1,889
721,Vols avec armes,16,2,286
722,Vols avec armes,16,3,756
723,Vols avec armes,16,4,148
724,Vols avec armes,16,6,346
725,Vols avec armes,16,11,3163
726,Vols avec armes,16,24,181
727,Vols avec armes,16,27,201
728,Vols avec armes,16,28,200
729,Vols avec armes,16,32,820
730,Vols avec armes,16,44,402
731,Vols avec armes,16,52,331
732,Vols avec armes,16,53,168
733,Vols avec armes,16,75,368
734,Vols avec armes,16,76,597
735,Vols avec armes,16,84,921
736,Vols avec armes,16,93,1090
737,Vols avec armes,16,94,40
738,Vols avec armes,17,1,589
739,Vols avec armes,17,2,307
740,Vols avec armes,17,3,615
741,Vols avec armes,17,4,90
742,Vols avec armes,17,6,232
743,Vols avec armes,17,11,2995
744,Vols avec armes,17,24,162
745,Vols avec armes,17,27,196
746,Vols avec armes,17,28,213
747,Vols avec armes,17,32,686
748,Vols avec armes,17,44,357
749,Vols avec armes,17,52,321
750,Vols avec armes,17,53,164
751,Vols avec armes,17,75,366
752,Vols avec armes,17,76,678
753,Vols avec armes,17,84,928
754,Vols avec armes,17,93,1110
755,Vols avec armes,17,94,34
756,Vols avec armes,18,1,429
757,Vols avec armes,18,2,257
758,Vols avec armes,18,3,516
759,Vols avec armes,18,4,86
760,Vols avec armes,18,6,308
761,Vols avec armes,18,11,2517
762,Vols avec armes,18,24,154
763,Vols avec armes,18,27,185
764,Vols avec armes,18,28,210
765,Vols avec armes,18,32,677
766,Vols avec armes,18,44,326
767,Vols avec armes,18,52,317
768,Vols avec armes,18,53,156
769,Vols avec armes,18,75,366
770,Vols avec armes,18,76,585
771,Vols avec armes,18,84,844
772,Vols avec armes,18,93,1049
773,Vols avec armes,18,94,18
774,Vols avec armes,19,1,463
775,Vols avec armes,19,2,228
776,Vols avec armes,19,3,696
777,Vols avec armes,19,4,61
778,Vols avec armes,19,6,305
779,Vols avec armes,19,11,2460
780,Vols avec armes,19,24,167
781,Vols avec armes,19,27,219
782,Vols avec armes,19,28,214
783,Vols avec armes,19,32,694
784,Vols avec armes,19,44,331
785,Vols avec armes,19,52,351
786,Vols avec armes,19,53,165
787,Vols avec armes,19,75,326
788,Vols avec armes,19,76,551
789,Vols avec armes,19,84,844
790,Vols avec armes,19,93,1012
791,Vols avec armes,19,94,24
792,Vols avec armes,20,1,307
793,Vols avec armes,20,2,242
794,Vols avec armes,20,3,709
795,Vols avec armes,20,4,43
796,Vols avec armes,20,6,487
797,Vols avec armes,20,11,2226
798,Vols avec armes,20,24,160
799,Vols avec armes,20,27,163
800,Vols avec armes,20,28,191
