,classe,annee,Code.région,faits
0,Homicides,16,1,32
1,Homicides,16,2,18
2,Homicides,16,3,41
3,Homicides,16,4,14
4,Homicides,16,6,10
5,Homicides,16,11,123
6,Homicides,16,24,27
7,Homicides,16,27,23
8,Homicides,16,28,33
9,Homicides,16,32,73
10,Homicides,16,44,70
11,Homicides,16,52,30
12,Homicides,16,53,21
13,Homicides,16,75,65
14,Homicides,16,76,65
15,Homicides,16,84,87
16,Homicides,16,93,165
17,Homicides,16,94,14
18,Homicides,17,1,37
19,Homicides,17,2,11
20,Homicides,17,3,22
21,Homicides,17,4,17
22,Homicides,17,6,2
23,Homicides,17,11,129
24,Homicides,17,24,25
25,Homicides,17,27,30
26,Homicides,17,28,27
27,Homicides,17,32,73
28,Homicides,17,44,49
29,Homicides,17,52,35
30,Homicides,17,53,29
31,Homicides,17,75,63
32,Homicides,17,76,63
33,Homicides,17,84,88
34,Homicides,17,93,109
35,Homicides,17,94,17
36,Homicides,18,1,18
37,Homicides,18,2,15
38,Homicides,18,3,23
39,Homicides,18,4,16
40,Homicides,18,6,7
41,Homicides,18,11,126
42,Homicides,18,24,21
43,Homicides,18,27,30
44,Homicides,18,28,24
45,Homicides,18,32,89
46,Homicides,18,44,50
47,Homicides,18,52,39
48,Homicides,18,53,24
49,Homicides,18,75,60
50,Homicides,18,76,74
51,Homicides,18,84,78
52,Homicides,18,93,127
53,Homicides,18,94,10
54,Homicides,19,1,15
55,Homicides,19,2,26
56,Homicides,19,3,32
57,Homicides,19,4,15
58,Homicides,19,6,10
59,Homicides,19,11,140
60,Homicides,19,24,26
61,Homicides,19,27,26
62,Homicides,19,28,37
63,Homicides,19,32,70
64,Homicides,19,44,67
65,Homicides,19,52,33
66,Homicides,19,53,27
67,Homicides,19,75,63
68,Homicides,19,76,75
69,Homicides,19,84,88
70,Homicides,19,93,98
71,Homicides,19,94,9
72,Homicides,20,1,25
73,Homicides,20,2,19
74,Homicides,20,3,43
75,Homicides,20,4,11
76,Homicides,20,6,14
77,Homicides,20,11,122
78,Homicides,20,24,26
79,Homicides,20,27,24
80,Homicides,20,28,46
81,Homicides,20,32,69
82,Homicides,20,44,53
83,Homicides,20,52,27
84,Homicides,20,53,20
85,Homicides,20,75,77
86,Homicides,20,76,64
87,Homicides,20,84,83
88,Homicides,20,93,92
89,Homicides,20,94,8
90,Homicides,21,1,23
91,Homicides,21,2,18
92,Homicides,21,3,28
93,Homicides,21,4,17
94,Homicides,21,6,11
95,Homicides,21,11,180
96,Homicides,21,24,24
97,Homicides,21,27,23
98,Homicides,21,28,36
99,Homicides,21,32,64
100,Homicides,21,44,52
101,Homicides,21,52,35
102,Homicides,21,53,38
103,Homicides,21,75,69
104,Homicides,21,76,77
105,Homicides,21,84,67
106,Homicides,21,93,106
107,Homicides,21,94,14
108,Homicides,22,1,27
109,Homicides,22,2,29
110,Homicides,22,3,48
111,Homicides,22,4,17
112,Homicides,22,6,14
113,Homicides,22,11,140
114,Homicides,22,24,30
115,Homicides,22,27,34
116,Homicides,22,28,33
117,Homicides,22,32,67
118,Homicides,22,44,62
119,Homicides,22,52,48
120,Homicides,22,53,54
121,Homicides,22,75,65
122,Homicides,22,76,77
123,Homicides,22,84,78
124,Homicides,22,93,124
125,Homicides,22,94,12
126,Homicides,23,1,37
127,Homicides,23,2,26
128,Homicides,23,3,58
129,Homicides,23,4,19
130,Homicides,23,6,14
131,Homicides,23,11,156
132,Homicides,23,24,29
133,Homicides,23,27,21
134,Homicides,23,28,47
135,Homicides,23,32,92
136,Homicides,23,44,44
137,Homicides,23,52,35
138,Homicides,23,53,41
139,Homicides,23,75,68
140,Homicides,23,76,79
141,Homicides,23,84,84
142,Homicides,23,93,134
143,Homicides,23,94,12
144,Coups et blessures volontaires,16,1,2501
145,Coups et blessures volontaires,16,2,2102
146,Coups et blessures volontaires,16,3,2007
147,Coups et blessures volontaires,16,4,4181
148,Coups et blessures volontaires,16,6,1388
149,Coups et blessures volontaires,16,11,45946
150,Coups et blessures volontaires,16,24,6797
151,Coups et blessures volontaires,16,27,8191
152,Coups et blessures volontaires,16,28,9519
153,Coups et blessures volontaires,16,32,23422
154,Coups et blessures volontaires,16,44,16833
155,Coups et blessures volontaires,16,52,9004
156,Coups et blessures volontaires,16,53,7470
157,Coups et blessures volontaires,16,75,14871
158,Coups et blessures volontaires,16,76,17709
159,Coups et blessures volontaires,16,84,22506
160,Coups et blessures volontaires,16,93,19376
161,Coups et blessures volontaires,16,94,915
162,Coups et blessures volontaires,17,1,2365
163,Coups et blessures volontaires,17,2,2180
164,Coups et blessures volontaires,17,3,2054
165,Coups et blessures volontaires,17,4,4363
166,Coups et blessures volontaires,17,6,1421
167,Coups et blessures volontaires,17,11,47168
168,Coups et blessures volontaires,17,24,7241
169,Coups et blessures volontaires,17,27,8572
170,Coups et blessures volontaires,17,28,9632
171,Coups et blessures volontaires,17,32,23518
172,Coups et blessures volontaires,17,44,17530
173,Coups et blessures volontaires,17,52,9741
174,Coups et blessures volontaires,17,53,8178
175,Coups et blessures volontaires,17,75,15526
176,Coups et blessures volontaires,17,76,18523
177,Coups et blessures volontaires,17,84,22680
178,Coups et blessures volontaires,17,93,19136
179,Coups et blessures volontaires,17,94,922
180,Coups et blessures volontaires,18,1,2500
181,Coups et blessures volontaires,18,2,2229
182,Coups et blessures volontaires,18,3,2083
183,Coups et blessures volontaires,18,4,4606
184,Coups et blessures volontaires,18,6,1346
185,Coups et blessures volontaires,18,11,48970
186,Coups et blessures volontaires,18,24,7729
187,Coups et blessures volontaires,18,27,9071
188,Coups et blessures volontaires,18,28,10448
189,Coups et blessures volontaires,18,32,25383
190,Coups et blessures volontaires,18,44,18361
191,Coups et blessures volontaires,18,52,10283
192,Coups et blessures volontaires,18,53,8561
193,Coups et blessures volontaires,18,75,16752
194,Coups et blessures volontaires,18,76,19794
195,Coups et blessures volontaires,18,84,25074
196,Coups et blessures volontaires,18,93,21211
197,Coups et blessures volontaires,18,94,965
198,Coups et blessures volontaires,19,1,2682
199,Coups et blessures volontaires,19,2,2278
200,Coups et blessures volontaires,19,3,2244
201,Coups et blessures volontaires,19,4,4596
202,Coups et blessures volontaires,19,6,1573
203,Coups et blessures volontaires,19,11,51440
204,Coups et blessures volontaires,19,24,8312
205,Coups et blessures volontaires,19,27,9308
206,Coups et blessures volontaires,19,28,10992
207,Coups et blessures volontaires,19,32,27110
208,Coups et blessures volontaires,19,44,19800
209,Coups et blessures volontaires,19,52,11207
210,Coups et blessures volontaires,19,53,9465
211,Coups et blessures volontaires,19,75,18379
212,Coups et blessures volontaires,19,76,21245
213,Coups et blessures volontaires,19,84,27264
214,Coups et blessures volontaires,19,93,22766
215,Coups et blessures volontaires,19,94,1121
216,Coups et blessures volontaires,20,1,2904
217,Coups et blessures volontaires,20,2,2290
218,Coups et blessures volontaires,20,3,2358
219,Coups et blessures volontaires,20,4,4832
220,Coups et blessures volontaires,20,6,1467
221,Coups et blessures volontaires,20,11,50627
222,Coups et blessures volontaires,20,24,8420
223,Coups et blessures volontaires,20,27,9437
224,Coups et blessures volontaires,20,28,10501
225,Coups et blessures volontaires,20,32,26422
226,Coups et blessures volontaires,20,44,19541
227,Coups et blessures volontaires,20,52,11628
228,Coups et blessures volontaires,20,53,10462
229,Coups et blessures volontaires,20,75,18786
230,Coups et blessures volontaires,20,76,21700
231,Coups et blessures volontaires,20,84,27171
232,Coups et blessures volontaires,20,93,22684
233,Coups et blessures volontaires,20,94,1166
